BAL (23) at CIN (34)
CAR (24) at ATL (31)
LAC (31) at BUF (20)
MIN (29) at GB (29)
CLE (18) at NO (21)
MIA (20) at NYJ (12)
KC (42) at PIT (37)
PHI (21) at TB (27)
HOU (17) at TEN (20)
IND (21) at WAS (9)
ARI (0) at LA (34)
DET (27) at SF (30)
OAK (19) at DEN (20)
NE (20) at JAX (31)
NYG (13) at DAL (20)
SEA (0) at CHI (0)
